seqName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Treatment1	Treatment2
Montipora_capitata_KBHIv3___RNAseq.g4713.t3	932.184557935654	-1.12773502200273	0.314966442702857	-3.58049261478513	0.000342947037023565	0.00390193083018908	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g46323.t1	362.935880348496	-2.03104801330589	0.251863238249331	-8.06409076379487	7.3782928236442e-16	9.00232804625511e-14	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g24596.t1a	118.479028773248	1.2984715335551	0.347217802441951	3.73964561846504	0.000184279870213751	0.00230932212074862	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g5240.t1	163.807411170022	-1.62106261981037	0.457265570239441	-3.54512284614282	0.000392430144644635	0.00437026268404151	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g12897.t1	185.102934659675	1.50954199304931	0.301354303993855	5.00919340803606	5.46586238822982e-07	1.4313082569933e-05	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g35538.t1	96.2206662512699	-1.56668440841678	0.457274636143889	-3.42613450338802	0.000612237123881695	0.00635593154414068	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g9083.t1	18.192617664591	2.23316196260493	0.756762710453428	2.95094080582656	0.00316807625855526	0.0237830633527647	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g43905.t1	59.9724488295511	1.26729342591608	0.355357087679528	3.56625341059461	0.000362121225496803	0.00407772004735396	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g13657.t1	92.9877892918589	-7.46356665644565	1.03817636463881	-7.18911247709084	6.5213835643299e-13	5.36347568257443e-11	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g45358.t1	441.210413374788	-1.34965779544631	0.323101100185001	-4.17719962783639	2.95120001127709e-05	0.000491261974890697	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g11746.t1	121.674858291459	1.91313857052104	0.320011107652691	5.97835051587451	2.25408318880365e-09	1.02570023136422e-07	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g47464.t1	325.104123165067	-1.24016570506597	0.238478918709706	-5.20031586764948	1.98950128804719e-07	5.74497602111519e-06	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g44288.t1	577.840451421555	-1.97391309761153	0.284971328903921	-6.92670769794195	4.30747301622918e-12	3.09552575399305e-10	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g49841.t1	586.509093387565	2.61027164958497	0.848733103925012	3.07549173882063	0.00210155750270263	0.0171130127997853	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g37268.t1b	41.6924470456295	1.17397588213151	0.424063294234144	2.76839777951474	0.00563326539248735	0.0368894990579694	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g33892.t1	36.4184538883376	-2.37051568724014	0.667867720188346	-3.54937903956734	0.000386140822851625	0.00431320076068571	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g20101.t1	357.083493508391	-1.01770803462093	0.318026831904194	-3.20006971904659	0.00137394348019944	0.0123023342424632	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g41166.t1	429.950495095859	-1.08690684843234	0.245993883554921	-4.41843038015892	9.94202945398935e-06	0.000192143347306604	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g50211.t1	555.96032048997	-1.25559854340488	0.361055800467791	-3.47757477314615	0.000505971905372549	0.0054022235837363	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g37575.t1	29.4236714986587	1.37842283130886	0.50396829695323	2.73513798316719	0.00623541319421377	0.0397655328520135	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.9375_t	72.1544048237961	1.68026322364034	0.415445765536008	4.04448272922572	5.24387736395729e-05	0.000803072694786453	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g21972.t1	5.82540189587519	6.19898503443412	1.68958725911886	3.66893452881916	0.000243563438599566	0.00291253081181581	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g26876.t1	621.189919089643	-2.06021144134547	0.298008621995195	-6.91326119208287	4.73636705230807e-12	3.37101816549849e-10	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g29099.t1	572.490305387783	-3.06068706475573	0.399858866433577	-7.65441840030863	1.94189071265734e-14	2.00565698443111e-12	MC-289_Field	MC-289_TP1-Amb
Montipora_capitata_KBHIv3___RNAseq.g50001.t1b	23.9354574403498	-3.94760003168763	0.769948520369165	-5.1270960684422	2.94245391660767e-07	8.15731980926216e-06	MC-289_Field	MC-289_TP1-Amb
